ID,Módulo,Descrição do Cenário,Pré-condições,Passos Principais,Resultado Esperado (Status + Body),Tipo,Prioridade
CT-LOG-01,Login,Autenticar com credenciais válidas.,Usuário previamente cadastrado no banco.,Enviar POST para /login com email e senha válidos.,200 OK. Body deve conter o token de autorização (authorization).,Positivo,Alta
CT-LOG-02,Login,Tentar login com e-mail/senha incorretos.,Usuário não existente ou senha incorreta.,Enviar POST para /login com dados incorretos.,"401 Unauthorized. Msg: ""Email e/ou senha inválidos"".",Negativo,Alta
CT-LOG-03,Login,Tentar login sem enviar campos obrigatórios.,N/A,Enviar POST para /login com payload vazio ou incompleto.,400 Bad Request. Validação de contrato (Joi) falha.,Contrato,Média
CT-USR-01,Usuários,Executar fluxo CRUD completo de Usuários.,N/A,"Criar (POST), 2. Buscar (GET), 3. Editar (PUT), 4. Excluir (DELETE).",201 / 200 OK. Respostas adequadas para cada operação.,Positivo,Alta
CT-USR-02,Usuários,Tentar cadastrar usuário com e-mail já em uso.,E-mail teste@qa.com já cadastrado.,Enviar POST para /usuarios usando e-mail duplicado.,"400 Bad Request. Msg: ""Este email já está sendo usado"".",Negativo,Alta
CT-PRO-01,Produtos,"Cadastrar, listar, editar e excluir Produto.",Token de Admin gerado via /login.,"Autenticar, 2. Criar Produto (POST), 3. Buscar, Editar, Excluir.",201 / 200 OK. Ciclo de vida do produto concluído.,Positivo,Alta
CT-PRO-02,Produtos,Tentar manipular produtos sem enviar token de autorização.,N/A,Enviar POST/PUT/DELETE para /produtos sem header Authorization.,"401 Unauthorized. Msg: ""Token de acesso ausente, inválido, expirado..."".",Segurança,Alta
CT-PRO-03,Produtos,Tentar cadastrar produto com usuário comum logado.,Usuário autenticado sem flag de admin.,Enviar POST para /produtos.,"403 Forbidden. Msg: ""Rota exclusiva para administradores"".",Segurança,Alta
CT-CAR-01,Carrinhos,"Executar fluxo completo (Criar, e Concluir/Cancelar compra).",Produto disponível e usuário com Token.,"Criar Carrinho (POST), 2. Concluir/Cancelar (DELETE).",201 / 200 OK. Estoque atualizado e carrinho limpo.,Positivo,Alta
CT-CAR-02,Carrinhos,Tentar cadastrar mais de um carrinho para o mesmo usuário.,Usuário já possui um carrinho ativo.,Enviar POST para /carrinhos usando os mesmos dados.,"400 Bad Request. Msg: ""Não é permitido ter mais de 1 carrinho"".",Negativo,Alta
CT-CAR-03,Carrinhos,Tentar excluir produto que faz parte de um carrinho ativo.,Produto cadastrado e vinculado a um carrinho.,Enviar DELETE para a rota /produtos/{id}.,"400 Bad Request. Msg: ""Não é permitido excluir produto que faz parte de carrinho"".",Limite,Média
